,response,distributions,probable_topic,topic_probability
45,"['reach', 'capacity', 'equity', 'mind', 'online', 'teaching', 'using', 'canvas', 'model', 'TWITTER_HANDLE', 'moderator', 'TWITTER_HANDLE', 'today', 'share', 'recording', 'website', 'twitter', 'reach', 'capacity', 'early', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.16176683), (1, 0.084126584), (2, 0.26353192), (3, 0.3222248), (4, 0.16834983)]",,
46,"['TWITTER_HANDLE', 'surprise', 'professor', 'canvas', 'understand', 'online', 'struggle', 'least']","[(0, 0.17968215), (1, 0.031697035), (2, 0.41003975), (3, 0.2091649), (4, 0.16941614)]",,
47,"['teacher', 'virtual', 'teacher', 'appreciation', 'message', 'email', 'grade', 'level', 'online', 'platform', 'seesaw', 'canvas', 'teacherappreciationweek']","[(0, 0.411682), (1, 0.02615765), (2, 0.33712038), (3, 0.08522991), (4, 0.13980998)]",,
48,"['add', 'video', 'online', 'class', 'canvas', 'month', 'personable', 'online', 'personable', 'teacher', 'maybe', 'using', 'youtube', 'channel', 'personal', 'video', 'message', 'teacher', 'check', 'utedchat']","[(0, 0.52744764), (1, 0.018204203), (2, 0.23691623), (3, 0.059317272), (4, 0.15811461)]",,
49,"['covid19', 'change', 'higher', 'thinking', 'upskilling', 'faculty', 'staff', 'consider', 'certificate', 'program', 'online', 'teaching', 'perfectly', 'appropriate', 'teaching', 'canvas', 'desire2learn', 'moodle']","[(0, 0.14828107), (1, 0.026157647), (2, 0.33838114), (3, 0.0852299), (4, 0.4019502)]",,
50,"['professor', 'upload', 'lecture', 'storage', 'space', 'canvas', 'online', 'enough', 'space', 'upload', 'lecture']","[(0, 0.20096111), (1, 0.035450775), (2, 0.4585991), (3, 0.11550972), (4, 0.18947935)]",,
51,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'think', 'first', 'better', 'online', 'system', 'canvas', 'utterly', 'disorganize', 'confuse', 'teacher', 'completely', 'different', 'submit', 'grade', 'suffering', 'runcie']","[(0, 0.20078196), (1, 0.096641816), (2, 0.3622418), (3, 0.2213194), (4, 0.119014986)]",,
52,"['equity', 'mind', 'online', 'teaching', 'technique', 'canvas', 'webinar', 'jenniferortiz', 'absolutely', 'fantastic', '🏿@calcommcolleges', 'TWITTER_HANDLE', 'cccracialequity', 'cueracialequity', 'equityol', 'ccclearn']","[(0, 0.14820035), (1, 0.026158132), (2, 0.3958654), (3, 0.17261845), (4, 0.25715762)]",,
53,"['happening', 'equity', 'mind', 'online', 'teaching', 'using', 'canvas', 'model', 'bring', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.20080252), (1, 0.024055686), (2, 0.3270622), (3, 0.23914607), (4, 0.20893353)]",,
54,"['reach', 'capacity', 'equity', 'mind', 'online', 'teaching', 'using', 'canvas', 'model', 'TWITTER_HANDLE', 'moderator', 'TWITTER_HANDLE', 'today', 'share', 'recording', 'website', 'twitter', 'reach', 'capacity', 'early', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.1617763), (1, 0.084126584), (2, 0.26352248), (3, 0.32222477), (4, 0.16834983)]",,
55,"['TWITTER_HANDLE', 'surprise', 'professor', 'canvas', 'understand', 'online', 'struggle', 'least']","[(0, 0.1796822), (1, 0.031697035), (2, 0.4100397), (3, 0.2091649), (4, 0.16941614)]",,
56,"['teacher', 'virtual', 'teacher', 'appreciation', 'message', 'email', 'grade', 'level', 'online', 'platform', 'seesaw', 'canvas', 'teacherappreciationweek']","[(0, 0.411682), (1, 0.02615765), (2, 0.33712038), (3, 0.08522991), (4, 0.13980998)]",,
57,"['grenville', 'green', 'deputy', 'principal', 'junior', 'school', 'haileybury', 'teacher', 'future', 'event', 'talking', 'teaching', 'literacy', 'numeracy', 'blend', 'learning', 'programme', 'using', 'canvas', 'prepare', 'teacher']","[(0, 0.41861105), (1, 0.09665081), (2, 0.29317817), (3, 0.07255514), (4, 0.11900485)]",,
58,"['congratulations', 'blend', 'learning', 'coordinator', 'colin', 'davitt', 'name', 'central', 'office', 'support', 'staff', 'person', 'colin', 'support', 'teacher', 'implementation', 'instructional', 'technology', 'rolling', 'canvas', 'supporting', 'teacher', 'family']","[(0, 0.49946985), (1, 0.026158063), (2, 0.33671048), (3, 0.08523186), (4, 0.052429747)]",,
